Survived,Pclass,Sex,Age,SibSp,Parch,FamilySize,IsAlone,Has_Cabin,Fare_Log,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Embarked_Q,Embarked_S
0,3,0,-0.5574601720312115,1,0,2,0,0,2.1102132003465894,0,1,0,0,0,1
1,1,1,0.6490906666288329,1,0,2,0,1,4.2805931204649,0,0,1,0,0,0
1,3,1,-0.25582246236620043,0,0,1,1,0,2.188856327665703,1,0,0,0,0,1
1,1,1,0.42286238438007456,1,0,2,0,1,3.9908341858524357,0,0,1,0,0,1
0,3,0,0.42286238438007456,0,0,1,1,0,2.2027647577118348,0,1,0,0,0,1
0,3,0,0.04581524729881069,0,0,1,1,0,2.246892662898172,0,1,0,0,1,0
0,1,0,1.8556415052888773,0,0,1,1,1,3.967694202798607,0,1,0,0,0,1
0,3,0,-2.065648720356267,3,1,5,0,0,3.0944457464900235,0,0,0,0,0,1
1,3,1,-0.18041303494994762,0,2,3,0,0,2.495953738718064,0,0,1,0,0,1
1,2,1,-1.1607355913612336,1,0,2,0,0,3.436268471383741,0,0,1,0,0,0
1,3,1,-1.9148298655237614,1,1,3,0,1,2.8735646395797834,1,0,0,0,0,1
1,1,1,2.1572792149538884,0,0,1,1,1,3.3160025355989236,1,0,0,0,0,1
0,3,0,-0.708279026863717,0,0,1,1,0,2.2027647577118348,0,1,0,0,0,1
0,3,0,0.7245000940450856,1,5,7,0,0,3.4742929367327062,0,1,0,0,0,1
0,3,1,-1.1607355913612336,0,0,1,1,0,2.180891922715322,1,0,0,0,0,1
1,2,1,1.93105093270513,0,0,1,1,0,2.833213344056216,0,0,1,0,0,1
0,3,0,-2.065648720356267,4,1,6,0,0,3.405355391810819,0,0,0,0,1,0
1,2,0,0.04581524729881069,0,0,1,1,0,2.6390573296152584,0,1,0,0,0,1
0,3,1,0.12122467471506346,1,0,2,0,0,2.9444389791664403,0,0,1,0,0,1
1,3,1,0.42286238438007456,0,0,1,1,0,2.1071782966514356,0,0,1,0,0,0
0,2,0,0.42286238438007456,0,0,1,1,0,3.295836866004329,0,1,0,0,0,1
1,2,0,0.3474529569638218,0,0,1,1,1,2.6390573296152584,0,1,0,0,0,1
1,3,1,-1.085326163944981,0,0,1,1,0,2.2004637699272855,1,0,0,0,1,0
1,1,0,-0.10500360753369486,0,0,1,1,1,3.597312260588446,0,1,0,0,0,1
0,3,1,-1.6131921558587503,3,1,5,0,0,3.0944457464900235,1,0,0,0,0,1
1,3,1,0.6490906666288329,1,5,7,0,0,3.4777725458882283,0,0,1,0,0,1
0,3,0,0.04581524729881069,0,0,1,1,0,2.1071782966514356,0,1,0,0,0,0
0,1,0,-0.7836884542799698,3,2,6,0,1,5.575949103146316,0,1,0,0,0,1
1,3,1,-0.6328695994474642,0,0,1,1,0,2.1837114628556327,1,0,0,0,1,0
0,3,0,0.04581524729881069,0,0,1,1,0,2.1855792552411137,0,1,0,0,0,1
0,1,0,0.7999095214613384,0,0,1,1,0,3.357621598945279,0,0,0,1,0,0
1,1,1,0.42286238438007456,1,0,2,0,1,4.993969182787072,0,0,1,0,0,0
1,3,1,-0.6328695994474642,0,0,1,1,0,2.169053700369523,1,0,0,0,1,0
0,2,0,2.7605546342839102,0,0,1,1,0,2.4423470353692043,0,1,0,0,0,1
0,1,0,-0.10500360753369486,1,0,2,0,0,4.420896324687287,0,1,0,0,0,0
0,1,0,0.950728376293844,1,0,2,0,0,3.970291913552122,0,1,0,0,0,1
1,3,0,0.04581524729881069,0,0,1,1,0,2.1076888046179385,0,1,0,0,0,0
0,3,0,-0.6328695994474642,0,0,1,1,0,2.2027647577118348,0,1,0,0,0,1
0,3,1,-0.8590978816962226,2,0,3,0,0,2.9444389791664403,1,0,0,0,0,1
1,3,1,-1.1607355913612336,1,0,2,0,0,2.5048481563289,1,0,0,0,0,0
0,3,1,0.7999095214613384,1,0,2,0,0,2.348991465808201,0,0,1,0,0,1
0,2,1,-0.18041303494994762,1,0,2,0,0,3.091042453358316,0,0,1,0,0,1
0,3,0,0.04581524729881069,0,0,1,1,0,2.1855792552411137,0,1,0,0,0,0
1,2,1,-1.9902392929400141,1,2,4,0,0,3.7513658711253766,1,0,0,0,0,0
1,3,1,-0.7836884542799698,0,0,1,1,0,2.1837114628556327,1,0,0,0,1,0
0,3,0,0.04581524729881069,0,0,1,1,0,2.2027647577118348,0,1,0,0,0,1
